AREA,AREA_TITLE,PRIM_STATE
33340,"Milwaukee-Waukesha-West Allis, WI",WI
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",MN
33540,"Missoula, MT",MT
33660,"Mobile, AL",AL
33700,"Modesto, CA",CA
33740,"Monroe, LA",LA
33780,"Monroe, MI",MI
33860,"Montgomery, AL",AL
34060,"Morgantown, WV",WV
34100,"Morristown, TN",TN
34580,"Mount Vernon-Anacortes, WA",WA
34620,"Muncie, IN",IN
34740,"Muskegon, MI",MI
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",SC
34900,"Napa, CA",CA
34940,"Naples-Immokalee-Marco Island, FL",FL
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN
35100,"New Bern, NC",NC
35380,"New Orleans-Metairie, LA",LA
35620,"New York-Newark-Jersey City, NY-NJ-PA",NY
35660,"Niles-Benton Harbor, MI",MI
35840,"North Port-Sarasota-Bradenton, FL",FL
36100,"Ocala, FL",FL
36140,"Ocean City, NJ",NJ
36220,"Odessa, TX",TX
36260,"Ogden-Clearfield, UT",UT
36420,"Oklahoma City, OK",OK
36500,"Olympia-Tumwater, WA",WA
36540,"Omaha-Council Bluffs, NE-IA",NE
36740,"Orlando-Kissimmee-Sanford, FL",FL
36780,"Oshkosh-Neenah, WI",WI
36980,"Owensboro, KY",KY
37100,"Oxnard-Thousand Oaks-Ventura, CA",CA
37340,"Palm Bay-Melbourne-Titusville, FL",FL
37460,"Panama City, FL",FL
37620,"Parkersburg-Vienna, WV",WV
37860,"Pensacola-Ferry Pass-Brent, FL",FL
37900,"Peoria, IL",IL
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA
38060,"Phoenix-Mesa-Scottsdale, AZ",AZ
38220,"Pine Bluff, AR",AR
38300,"Pittsburgh, PA",PA
38540,"Pocatello, ID",ID
38660,"Ponce, PR",PR
38900,"Portland-Vancouver-Hillsboro, OR-WA",OR
38940,"Port St. Lucie, FL",FL
39140,"Prescott, AZ",AZ
39340,"Provo-Orem, UT",UT
39380,"Pueblo, CO",CO
39460,"Punta Gorda, FL",FL
39540,"Racine, WI",WI
39580,"Raleigh, NC",NC
39660,"Rapid City, SD",SD
39740,"Reading, PA",PA
39820,"Redding, CA",CA
39900,"Reno, NV",NV
40060,"Richmond, VA",VA
40140,"Riverside-San Bernardino-Ontario, CA",CA
40220,"Roanoke, VA",VA
40340,"Rochester, MN",MN
40380,"Rochester, NY",NY
40420,"Rockford, IL",IL
40580,"Rocky Mount, NC",NC
40660,"Rome, GA",GA
40900,"Sacramento--Roseville--Arden-Arcade, CA",CA
40980,"Saginaw, MI",MI
41060,"St. Cloud, MN",MN
41100,"St. George, UT",UT
41140,"St. Joseph, MO-KS",MO
41180,"St. Louis, MO-IL",MO
41420,"Salem, OR",OR
41500,"Salinas, CA",CA
41540,"Salisbury, MD-DE",MD
41620,"Salt Lake City, UT",UT
41660,"San Angelo, TX",TX
41700,"San Antonio-New Braunfels, TX",TX
41740,"San Diego-Carlsbad, CA",CA
41860,"San Francisco-Oakland-Hayward, CA",CA
41900,"San German, PR",PR
41940,"San Jose-Sunnyvale-Santa Clara, CA",CA
41980,"San Juan-Carolina-Caguas, PR",PR
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",CA
42100,"Santa Cruz-Watsonville, CA",CA
42140,"Santa Fe, NM",NM
42200,"Santa Maria-Santa Barbara, CA",CA
42220,"Santa Rosa, CA",CA
42340,"Savannah, GA",GA
42540,"Scranton--Wilkes-Barre--Hazleton, PA",PA
42660,"Seattle-Tacoma-Bellevue, WA",WA
42680,"Sebastian-Vero Beach, FL",FL
42700,"Sebring, FL",FL
43100,"Sheboygan, WI",WI
43300,"Sherman-Denison, TX",TX
43340,"Shreveport-Bossier City, LA",LA
43420,"Sierra Vista-Douglas, AZ",AZ
43580,"Sioux City, IA-NE-SD",IA
43620,"Sioux Falls, SD",SD
43780,"South Bend-Mishawaka, IN-MI",IN
43900,"Spartanburg, SC",SC
44060,"Spokane-Spokane Valley, WA",WA
44100,"Springfield, IL",IL
44180,"Springfield, MO",MO
44220,"Springfield, OH",OH
44300,"State College, PA",PA
44420,"Staunton-Waynesboro, VA",VA
44700,"Stockton-Lodi, CA",CA
44940,"Sumter, SC",SC
45060,"Syracuse, NY",NY
45220,"Tallahassee, FL",FL
45300,"Tampa-St. Petersburg-Clearwater, FL",FL
45460,"Terre Haute, IN",IN
45500,"Texarkana, TX-AR",TX
45540,"The Villages, FL",FL
45780,"Toledo, OH",OH
45820,"Topeka, KS",KS
45940,"Trenton, NJ",NJ
46060,"Tucson, AZ",AZ
46140,"Tulsa, OK",OK
46220,"Tuscaloosa, AL",AL
46300,"Twin Falls, ID",ID
46340,"Tyler, TX",TX
46520,"Urban Honolulu, HI",HI
46540,"Utica-Rome, NY",NY
46660,"Valdosta, GA",GA
46700,"Vallejo-Fairfield, CA",CA
47020,"Victoria, TX",TX
47220,"Vineland-Bridgeton, NJ",NJ
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",VA
47300,"Visalia-Porterville, CA",CA
47380,"Waco, TX",TX
47460,"Walla Walla, WA",WA
47580,"Warner Robins, GA",GA
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC
47940,"Waterloo-Cedar Falls, IA",IA
48060,"Watertown-Fort Drum, NY",NY
48140,"Wausau, WI",WI
48260,"Weirton-Steubenville, WV-OH",WV
48300,"Wenatchee, WA",WA
48540,"Wheeling, WV-OH",WV
48620,"Wichita, KS",KS
48660,"Wichita Falls, TX",TX
48700,"Williamsport, PA",PA
48900,"Wilmington, NC",NC
49020,"Winchester, VA-WV",VA
49180,"Winston-Salem, NC",NC
49420,"Yakima, WA",WA
49620,"York-Hanover, PA",PA
49660,"Youngstown-Warren-Boardman, OH-PA",OH
49700,"Yuba City, CA",CA
49740,"Yuma, AZ",AZ
70750,"Bangor, ME",ME
70900,"Barnstable Town, MA",MA
71650,"Boston-Cambridge-Nashua, MA-NH",MA
71950,"Bridgeport-Stamford-Norwalk, CT",CT
72400,"Burlington-South Burlington, VT",VT
72850,"Danbury, CT",CT
73050,"Dover-Durham, NH-ME",NH
73450,"Hartford-West Hartford-East Hartford, CT",CT
74500,"Leominster-Gardner, MA",MA
74650,"Lewiston-Auburn, ME",ME
74950,"Manchester, NH",NH
75550,"New Bedford, MA",MA
75700,"New Haven, CT",CT
76450,"Norwich-New London-Westerly, CT-RI",CT
76600,"Pittsfield, MA",MA
76750,"Portland-South Portland, ME",ME
76900,"Portsmouth, NH-ME",NH
77200,"Providence-Warwick, RI-MA",RI
78100,"Springfield, MA-CT",MA
78700,"Waterbury, CT",CT
79600,"Worcester, MA-CT",MA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
